datetime,timestamp,timestamp_desc,message,report,attribution,Compile Timestamp,source,md5,ip,domain,filename,SHA256,SHA1,File Type,File Size,PDB String,C2 Server
2014-05-27T00:00:00+00:00,1401148800000,VT_Domain_to_ip,Domain johnywalter.webatu.com was resolving to 31.170.161.76,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,BITTER,,https://www.virustotal.com/gui/domain/johnywalter.webatu.com/details,,31.170.161.76,johnywalter.webatu.com,,,,,,,
2015-02-15T08:00:37+0000,1423987237000,Compile Timestamp,KashmirKillingAndFreedomPics.exe d:\Projects\WinRAR\SFX\build\sfxzip32\Release\sfxzip.pdb was found on VT ,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,BITTER,2015-02-15 08:00:37 UTC,https://www.virustotal.com/#/file/7652b2bbf45e1ff5122f2d7ee83eaa3e64d5c496d2c616fb77252924fa3a0c32/details,2ba337190f86affb65f0d232f44b7d52,,,KashmirKillingAndFreedomPics.exe,7652b2bbf45e1ff5122f2d7ee83eaa3e64d5c496d2c616fb77252924fa3a0c32,98189fa59e78915c01c34e37186acec5b08c32a6,"PE32 executable (GUI) Intel 80386, for MS Windows",837366,d:\Projects\WinRAR\SFX\build\sfxzip32\Release\sfxzip.pdb,woodwind71[.]com
2015-03-13T00:00:00+00:00,1426204800000,VT_Domain_to_ip,Domain healthnewsone.com was resolving to 54.235.64.39,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,BITTER,,https://www.virustotal.com/gui/domain/healthnewsone.com/details,,54.235.64.39,healthnewsone.com,,,,,,,
2015-06-10T11:49:51+0000,1433936991000,Compile Timestamp,igfxserv C:\Users\John\Desktop\dnew01052015-run mul exes avgok\Release\dwe01.pdb was found on VT ,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,BITTER,2015-06-10 11:49:51 UTC,https://www.virustotal.com/#/file/eae4d23fff41b071425251d4bcdd943890ae90f05d6fb1aff27586a3c5c5bfbc/details,38ba17b9ae3a4a4733d716c2ecade70d,,,igfxserv,eae4d23fff41b071425251d4bcdd943890ae90f05d6fb1aff27586a3c5c5bfbc,cc15f5f5367d8af32cad56e591e74c84b6be2459,"PE32 executable (GUI) Intel 80386, for MS Windows",164352,C:\Users\John\Desktop\dnew01052015-run mul exes avgok\Release\dwe01.pdb,johnywalter.webatu[.]com
2015-06-18T00:00:00+00:00,1434585600000,VT_Domain_to_ip,Domain healthnewsone.com was resolving to 23.21.129.188,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,BITTER,,https://www.virustotal.com/gui/domain/healthnewsone.com/details,,23.21.129.188,healthnewsone.com,,,,,,,
2015-06-23T00:00:00+00:00,1435017600000,VT_Domain_to_ip,Domain healthnewsone.com was resolving to 54.225.190.252,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,BITTER,,https://www.virustotal.com/gui/domain/healthnewsone.com/details,,54.225.190.252,healthnewsone.com,,,,,,,
2015-07-06T11:55:16+0000,1436183716000,Compile Timestamp,igfxsrv C:\Users\John\Desktop\Edit\dnew23062015-run no rest req - Copy\Release\dwe01.pdb was found on VT ,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,BITTER,2015-07-06 11:55:16 UTC,https://www.virustotal.com/#/file/ad43fdd613c0271cbbc05a217b803c9814d2d1b3c9be5a73321d1a7e04134bab/details,3c4bed8d649375050dba3a3a8df87d12,,,igfxsrv,ad43fdd613c0271cbbc05a217b803c9814d2d1b3c9be5a73321d1a7e04134bab,10922aba6835cffbf9932c80d32226b883b9e12c,"PE32 executable (GUI) Intel 80386, for MS Windows",165136,C:\Users\John\Desktop\Edit\dnew23062015-run no rest req - Copy\Release\dwe01.pdb,mappservworldvide.16mb[.]com
2015-07-16T00:00:00+00:00,1437004800000,VT_Domain_to_ip,Domain healthnewsone.com was resolving to 184.73.198.253,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,BITTER,,https://www.virustotal.com/gui/domain/healthnewsone.com/details,,184.73.198.253,healthnewsone.com,,,,,,,
2015-08-03T00:00:00+00:00,1438560000000,VT_Domain_to_ip,Domain healthnewsone.com was resolving to 54.243.160.229,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,BITTER,,https://www.virustotal.com/gui/domain/healthnewsone.com/details,,54.243.160.229,healthnewsone.com,,,,,,,
2015-08-19T00:00:00+00:00,1439942400000,VT_Domain_to_ip,Domain healthnewsone.com was resolving to 23.21.82.171,https://unit42.paloaltonetworks.com/multiple-artradownloader-variants-used-by-bitter-to-target-pakistan/,BITTER,,https://www.virustotal.com/gui/domain/healthnewsone.com/details,,23.21.82.171,healthnewsone.com,,,,,,,
